"RegionName","City","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19879310344828,1.30608888292159,1.35155993431855,1.25649038461538,1.24375,1.23298611111111,1.32727272727273,1.28915662650602,1.28995433789954,1.27237146415229,1.1889880952381,1.24140852769679,1.32978723404255,1.33333333333333,1.33333333333333,1.38524590163934,1.33333333333333,1.4,1.33843212237094,1.39291666666667,1.37692307692308,1.31098901098901,1.29671280276817,1.37596153846154,1.45454545454545,1.37881944444444,1.35454545454545,1.35374331550802
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.910538005271247,0.935897435897436,0.857390300230947,0.882096443228454,0.87108024691358,0.923392612859097,0.9,0.972687712849343,0.952210219159372,0.935897435897436,1.08811881188119,1.04325942915392,0.974687419182883
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07364975450082,5.0514603721155,5,4.98949579831933,4.97939393939394,4.92666666666667,4.9269588313413,4.92983281086729,5.01605584911879,5.06578947368421,4.87730061349693,4.92264171472092,4.99285714285714,4.99,4.99291242280857,4.96023536895674,4.98723963133641,5,5,5.01941947040268,5,5,4.99212413452028,4.85507246376812,4.72272727272727,4.79735318444996,4.87638888888889,4.87835493417696,4.73684210526316,4.73508771929825,4.75,4.7887323943662,4.78769953051643,4.75,4.8,4.75884994716449,4.75299401197605,4.67061507049625,4.67491013659238,4.68421052631579,4.73541666666667,4.72727272727273,4.75,4.85661883263463,4.70588235294118,4.75299401197605,4.7375,4.71944444444444,4.66666666666667,4.82689655172414,4.81818181818182,4.8180815876516,4.85177023216592,4.81794507575758,4.83051948051948,4.85177023216592,4.91133557800224
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716640702290023,0.666666666666667,0.751489707475623,0.78704128440367,0.658823372749547,0.694444444444444,0.613563769107917,0.673663684841636,0.740655471289274,0.804705996404006,0.810251669009937,0.815494393476045,0.805297168297693,0.832438238453276
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76446676231468,2.77577649695805,2.71546635182999,2.77372262773723,2.8,2.81650641025641,2.76153846153846,2.75,2.73205741626794,2.72727272727273,2.67857142857143,2.63636363636364,2.75,2.73551136363636,2.6,2.68019480519481,2.66666666666667,2.61538461538462,2.73076923076923,2.66666666666667,2.6234756097561,2.77777777777778,2.85,2.83333333333333,2.875,2.8,2.86237373737374,2.8,2.82759803921569,2.75,2.75,2.73684210526316,2.76923076923077,2.77777777777778,2.7,2.76,2.79661016949153,2.73508771929825,2.76923076923077,2.78571428571429,2.81079545454545,2.81818181818182,2.72942583732057,2.75,2.76153846153846,2.77777777777778,2.73886247877759,2.82352941176471
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.73482726423903,3.71428571428571,3.8,3.84615384615385,3.95256916996047,3.90625,3.90292091836735,3.88888888888889,3.83291666666667,3.71798319327731,3.59545454545455,3.68421052631579,3.7,3.75,3.71428571428571,3.77777777777778,3.67647058823529,3.69180769230769,3.75,3.74375,3.66041666666667,3.6,3.56444444444444,3.54,3.63636363636364,3.70629370629371,3.67832722832723
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",7,,,,,,,,,,,,,,,,,,,,,,1.71270718232044,1.99375,1.85357142857143,1.75422794117647,1.87129815185927,2.12163729809104,1.8452380952381,1.98237885462555,2.05128205128205,2.29599033816425,2.26086956521739,2.2375,2.13571428571429,2.2081140852589,2.09821428571429,2.125,2.22670250896057,2.23684210526316,2.26693766937669,2.28638888888889,2.26,2.26,2.27857142857143,2.30582524271845,2.06922498118886,2.15384615384615,2.12604403948367,2.2,2.27954267360049,2.06666666666667,2.15833333333333,2.12554945054945,2.19375,2.28682669789227,2.37435261707989,2.52722222222222,2.38888888888889,2.29677419354839,2.35955056179775,2.45843023255814,2.578125,2.6625,2.50025510204082,2.59667487684729,2.56666666666667,2.5531914893617,2.578125,2.60714285714286,2.6,2.69230769230769,2.41509433962264,2.45942275042445,2.52552631578947,2.53194915254237,2.56776034236805,2.56776034236805,2.60741758241758,2.69782608695652,2.72666666666667,2.66296296296296,2.69365384615385,2.67184529306318,2.61875,2.56033182503771,2.64941460055096,2.595,2.64322310200279,2.63730158730159,2.69010043041607,2.69615384615385,2.70714285714286,2.7,2.71818181818182,2.91139240506329,2.65833333333333,2.62035096205525,2.66666666666667
"Camelback East","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987103174603175,0.93462962962963,1.01894550700669,1.03971428571429,1.08471283783784,1.11875,1.05489864864865,1.1224358974359,1.13809523809524,1.17622610141313,1.12916666666667,1.12403846153846,1.08333333333333,1.075,1.14077380952381,1.175,1.24375,1.20208333333333,1.1737676056338,1.12074898785425,1.25705128205128,1.28126984126984,1.25,1.17508813160987,1.24081335616438,1.22438524590164,1.22901785714286,1.25
"East Side","El Paso","TX","El Paso","El Paso County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710227272727273,0.741063644289451,0.786919533746945,0.771604938271605,0.75,0.713536575431737,0.716845878136201,0.761270902637519,0.736793327154773,0.722060957910015,0.762100926879506,0.760352152082802,0.763157894736842,0.748194014447884,0.794270833333333,0.787527969646853,0.807142479513614,0.807106598984772,0.807106598984772,0.799766995614035,0.795,0.740953947368421,0.719572368421053,0.761884775330226,0.740223463687151,0.762583967756381,0.796966430481417
"Alhambra","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959523809523809,0.91304347826087,0.919331541628545,1.01973684210526,1.11538461538462,1.01973684210526,1,1.02380952380952,0.939964157706093,1.07779886148008,1.05882352941176,1.07941176470588,1.1,1.02631578947368,1.0942032967033,1.14095222513089,1.11777408637874,1.2175885911841,1.19315125181047,1.15,1.12313122923588,1.18589743589744,1.18054698110878,1.13461538461538,1.18054698110878,1.15,1.21061717738455
